label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3]
2304.g2	[0,0,0,-30,-272]	8 2
2304.h1	[0,0,0,-120,-448]	8 2
2304.h2	[0,0,0,-30,56]	8 2
2304.i1	[0,0,0,-120,448]	8 2
2304.i2	[0,0,0,-30,-56]	8 2
2304.j1	[0,0,0,-840,9344]	8 2
2304.j2	[0,0,0,-30,272]	8 2
2304.k1	[0,0,0,-210,1168]	8 2
2304.k2	[0,0,0,-120,2176]	8 2
2304.l1	[0,0,0,-23304,-1369280]	8 2
2304.l2	[0,0,0,-1434,-22088]	8 2
2304.l3	[0,0,0,-264,1600]	8 2
2304.l4	[0,0,0,6,88]	8 2
2304.m1	[0,0,0,-54,0]	8 2
2304.m2	[0,0,0,216,0]	8 2
2304.n1	[0,0,0,-24,0]	8 2
2304.n2	[0,0,0,6,0]	8 2
2304.o1	[0,0,0,-23304,1369280]	8 2
2304.o2	[0,0,0,-1434,22088]	8 2
2304.o3	[0,0,0,-264,-1600]	8 2
2304.o4	[0,0,0,6,-88]	8 2
2304.p1	[0,0,0,-18,0]	8 2
2304.p2	[0,0,0,72,0]	8 2
2592.a1	[0,0,0,-27,270]	5 4
2592.b1	[0,0,0,-27,-270]	5 4
2592.c1	[0,0,0,-108,-864]	5 4
2592.d1	[0,0,0,-108,864]	5 4
2592.e1	[0,0,0,-12,32]	5 4
2592.f1	[0,0,0,-12,-32]	5 4
2592.g1	[0,0,0,-3,-10]	5 4
2592.h1	[0,0,0,-3,10]	5 4
3456.a1	[0,0,0,-84,304]	7 3
3456.b1	[0,0,0,-189,-1026]	7 3
3456.c1	[0,0,0,-84,-304]	7 3
3456.d1	[0,0,0,-189,1026]	7 3
3456.e1	[0,0,0,12,16]	7 3
3456.f1	[0,0,0,27,-54]	7 3
3456.g1	[0,0,0,12,-16]	7 3
3456.h1	[0,0,0,27,54]	7 3
3456.i1	[0,0,0,108,-432]	7 3
3456.j1	[0,0,0,3,2]	7 3
3456.k1	[0,0,0,108,432]	7 3
3456.l1	[0,0,0,3,-2]	7 3
3456.m1	[0,0,0,-756,-8208]	7 3
3456.n1	[0,0,0,-21,38]	7 3
3456.o1	[0,0,0,-756,8208]	7 3
3456.p1	[0,0,0,-21,-38]	7 3
3888.a1	[0,0,0,-27,90]	4 5
3888.b1	[0,0,0,-1539,-23166]	4 5
3888.b2	[0,0,0,-99,354]	4 5
3888.c1	[0,0,0,-17739,909306]	4 5
3888.c2	[0,0,0,-459,-1926]	4 5
3888.d1	[0,0,0,9,6]	4 5
3888.e1	[0,0,0,-36,-84]	4 5
3888.f1	[0,0,0,-486,4131]	4 5
3888.g1	[0,0,0,-243,-1134]	4 5
3888.h1	[0,0,0,0,-144]	4 5
3888.h2	[0,0,0,0,3888]	4 5
3888.i1	[0,0,0,0,-81]	4 5
3888.i2	[0,0,0,0,3]	4 5
3888.j1	[0,0,0,-315,2154]	4 5
3888.j2	[0,0,0,405,9882]	4 5
3888.k1	[0,0,0,0,-9]	4 5
3888.k2	[0,0,0,0,243]	4 5
3888.l1	[0,0,0,0,-324]	4 5
3888.l2	[0,0,0,0,12]	4 5
3888.m1	[0,0,0,-2835,-58158]	4 5
3888.m2	[0,0,0,45,-366]	4 5
3888.n1	[0,0,0,0,-1296]	4 5
3888.n2	[0,0,0,0,48]	4 5
3888.o1	[0,0,0,0,-36]	4 5
3888.o2	[0,0,0,0,972]	4 5
3888.p1	[0,0,0,-27,42]	4 5
3888.q1	[0,0,0,81,-162]	4 5
3888.r1	[0,0,0,-324,2268]	4 5
3888.s1	[0,0,0,-54,-153]	4 5
3888.t1	[0,0,0,-891,-9558]	4 5
3888.t2	[0,0,0,-171,858]	4 5
3888.u1	[0,0,0,-4131,52002]	4 5
3888.u2	[0,0,0,-1971,-33678]	4 5
3888.v1	[0,0,0,-243,-2430]	4 5
5184.a1	[0,0,0,-12,-80]	6 4
5184.b1	[0,0,0,-12,80]	6 4
5184.c1	[0,0,0,-3564,-89424]	6 4
5184.c2	[0,0,0,276,176]	6 4
5184.d1	[0,0,0,-1404,20304]	6 4
5184.d2	[0,0,0,36,144]	6 4
5184.e1	[0,0,0,-324,-1944]	6 4
5184.e2	[0,0,0,-84,296]	6 4
5184.f1	[0,0,0,-324,1944]	6 4
5184.f2	[0,0,0,-84,-296]	6 4
5184.g1	[0,0,0,-1404,-20304]	6 4
5184.g2	[0,0,0,36,-144]	6 4
5184.h1	[0,0,0,-3564,89424]	6 4
5184.h2	[0,0,0,276,-176]	6 4
5184.i1	[0,0,0,-108,216]	6 4
5184.j1	[0,0,0,-3,4]	6 4
5184.k1	[0,0,0,-108,-3024]	6 4
5184.l1	[0,0,0,-108,3024]	6 4
5184.m1	[0,0,0,-3,-4]	6 4
5184.n1	[0,0,0,-108,-216]	6 4
5184.o1	[0,0,0,-620460,188113104]	6 4
5184.o2	[0,0,0,-6060,368848]	6 4
