label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,5,7]
20160.bz4	[0,0,0,-1544268,738638192]	6 2 1 1
20160.bz5	[0,0,0,-207948,-36150928]	6 2 1 1
20160.bz6	[0,0,0,-46668,-90792592]	6 2 1 1
20160.bz7	[0,0,0,-23628,491888]	6 2 1 1
20160.bz8	[0,0,0,419892,2447480432]	6 2 1 1
20160.ca1	[0,0,0,-134508,18987568]	6 2 1 1
20160.ca2	[0,0,0,-23628,-1023248]	6 2 1 1
20160.ca3	[0,0,0,-8508,289168]	6 2 1 1
20160.ca4	[0,0,0,312,17512]	6 2 1 1
20160.cb1	[0,0,0,-1188,15552]	6 2 1 1
20160.cb2	[0,0,0,-108,42768]	6 2 1 1
20160.cc1	[0,0,0,-1188,-14688]	6 2 1 1
20160.cc2	[0,0,0,-243,1188]	6 2 1 1
20160.cd1	[0,0,0,-15228,-289872]	6 2 1 1
20160.cd2	[0,0,0,-12528,-539352]	6 2 1 1
20160.cd3	[0,0,0,-8028,276848]	6 2 1 1
20160.cd4	[0,0,0,-528,3848]	6 2 1 1
20160.ce1	[0,0,0,-138,-758]	6 2 1 1
20160.cf1	[0,0,0,-678,6802]	6 2 1 1
20160.cg1	[0,0,0,67302,-6593022]	6 2 1 1
20160.ch1	[0,0,0,-948,11072]	6 2 1 1
20160.ch2	[0,0,0,-3,488]	6 2 1 1
20160.ci1	[0,0,0,-348,1328]	6 2 1 1
20160.ci2	[0,0,0,72,152]	6 2 1 1
20160.cj1	[0,0,0,-11448,-460728]	6 2 1 1
20160.cj2	[0,0,0,2052,-1481328]	6 2 1 1
20160.ck1	[0,0,0,-108,208]	6 2 1 1
20160.ck2	[0,0,0,372,1552]	6 2 1 1
20160.cl1	[0,0,0,-13548,-606832]	6 2 1 1
20160.cl2	[0,0,0,-6348,189488]	6 2 1 1
20160.cl3	[0,0,0,-948,-7072]	6 2 1 1
20160.cl4	[0,0,0,177,-772]	6 2 1 1
20160.cm1	[0,0,0,-2988,60912]	6 2 1 1
20160.cm2	[0,0,0,-468,-2592]	6 2 1 1
20160.cm3	[0,0,0,-423,-3348]	6 2 1 1
20160.cm4	[0,0,0,1332,-17712]	6 2 1 1
20160.cn1	[0,0,0,-2360748,-1396054928]	6 2 1 1
20160.cn2	[0,0,0,-155748,-19252928]	6 2 1 1
20160.cn3	[0,0,0,-47703,3739048]	6 2 1 1
20160.cn4	[0,0,0,320532,-113937392]	6 2 1 1
20160.co1	[0,0,0,-17988,69088]	6 2 1 1
20160.co2	[0,0,0,-12843,558892]	6 2 1 1
20160.cp1	[0,0,0,-215148,38410832]	6 2 1 1
20160.cp2	[0,0,0,-13548,590672]	6 2 1 1
20160.cp3	[0,0,0,-2028,-22192]	6 2 1 1
20160.cp4	[0,0,0,3732,1993808]	6 2 1 1
20160.cq1	[0,0,0,-104268,12957712]	6 2 1 1
20160.cq2	[0,0,0,-7068,166192]	6 2 1 1
20160.cq3	[0,0,0,-2568,-48008]	6 2 1 1
20160.cq4	[0,0,0,18132,1083472]	6 2 1 1
20160.cr1	[0,0,0,-48,992]	6 2 1 1
20160.cs1	[0,0,0,1152,45792]	6 2 1 1
20160.ct1	[0,0,0,-10848,401672]	6 2 1 1
20160.ct2	[0,0,0,-2208,-39832]	6 2 1 1
20160.ct3	[0,0,0,-1308,-72592]	6 2 1 1
20160.ct4	[0,0,0,11652,1850672]	6 2 1 1
20160.cu1	[0,0,0,-49332,-4217344]	6 2 1 1
20160.cu2	[0,0,0,-3027,-68416]	6 2 1 1
20160.cv1	[0,0,0,-2951532,-1947510864]	6 2 1 1
20160.cv2	[0,0,0,-1845612,-3424577616]	6 2 1 1
20160.cw1	[0,0,0,-3492,79424]	6 2 1 1
20160.cw2	[0,0,0,-3372,85136]	6 2 1 1
20160.cx1	[0,0,0,-3132,66096]	6 2 1 1
20160.cx2	[0,0,0,-432,-1944]	6 2 1 1
20160.cy1	[0,0,0,-9676812,-11586348016]	6 2 1 1
20160.cy2	[0,0,0,-604812,-181029616]	6 2 1 1
20160.cy3	[0,0,0,-564492,-206205424]	6 2 1 1
20160.cy4	[0,0,0,-213132,35795216]	6 2 1 1
20160.cy5	[0,0,0,-40332,-2428144]	6 2 1 1
20160.cy6	[0,0,0,5748,-234736]	6 2 1 1
20160.cz1	[0,0,0,-1106380812,14164624511984]	6 2 1 1
20160.cz2	[0,0,0,-69148812,221322182384]	6 2 1 1
20160.cz3	[0,0,0,-68716812,224224012784]	6 2 1 1
20160.cz4	[0,0,0,-8680332,-9840860944]	6 2 1 1
20160.cz5	[0,0,0,-4348812,3412742384]	6 2 1 1
20160.cz6	[0,0,0,-616332,-109225744]	6 2 1 1
20160.cz7	[0,0,0,120948,-12199696]	6 2 1 1
20160.cz8	[0,0,0,731508,10909262576]	6 2 1 1
20160.da1	[0,0,0,-377292,89197936]	6 2 1 1
20160.da2	[0,0,0,-24492,1280176]	6 2 1 1
20160.da3	[0,0,0,-6492,-181424]	6 2 1 1
20160.da4	[0,0,0,-6312,-193016]	6 2 1 1
20160.da5	[0,0,0,8628,-901136]	6 2 1 1
20160.da6	[0,0,0,40308,6904816]	6 2 1 1
20160.db1	[0,0,0,-24492,-1474576]	6 2 1 1
20160.db2	[0,0,0,-14412,656336]	6 2 1 1
20160.db3	[0,0,0,-1812,-13984]	6 2 1 1
20160.db4	[0,0,0,393,-1636]	6 2 1 1
20160.dc1	[0,0,0,-878412,-316803184]	6 2 1 1
20160.dc2	[0,0,0,-61932,-3601456]	6 2 1 1
20160.dc3	[0,0,0,-26652,1634096]	6 2 1 1
20160.dc4	[0,0,0,-26472,1657784]	6 2 1 1
20160.dc5	[0,0,0,5748,5353616]	6 2 1 1
20160.dc6	[0,0,0,190068,-25475056]	6 2 1 1
20160.dd1	[0,0,0,18,-54]	6 2 1 1
20160.de1	[0,0,0,-28992,-1900064]	6 2 1 1
20160.de2	[0,0,0,-192,-5024]	6 2 1 1
20160.df1	[0,0,0,78,1514]	6 2 1 1
20160.dg1	[0,0,0,-9658332,11552961744]	6 2 1 1
20160.dg2	[0,0,0,-582552,193715496]	6 2 1 1
20160.dh1	[0,0,0,-80652,8815984]	6 2 1 1
20160.dh2	[0,0,0,-5052,137104]	6 2 1 1
20160.dh3	[0,0,0,-1452,328624]	6 2 1 1
20160.dh4	[0,0,0,-552,-1496]	6 2 1 1
20160.di1	[0,0,0,-26892,1487376]	6 2 1 1
20160.di2	[0,0,0,-6732,-212336]	6 2 1 1
20160.di3	[0,0,0,-4812,-335984]	6 2 1 1
20160.di4	[0,0,0,42228,7874064]	6 2 1 1
20160.dj1	[0,0,0,-508332,139498256]	6 2 1 1
20160.dj2	[0,0,0,-80652,-5889616]	6 2 1 1
20160.dj3	[0,0,0,-32052,2139104]	6 2 1 1
20160.dj4	[0,0,0,753,118316]	6 2 1 1
20160.dk1	[0,0,0,-202309932,-1107576977456]	6 2 1 1
20160.dk2	[0,0,0,-12644652,-17305081904]	6 2 1 1
20160.dk3	[0,0,0,-11723052,-19934591024]	6 2 1 1
20160.dk4	[0,0,0,-2509932,-1503617456]	6 2 1 1
20160.dk5	[0,0,0,-848172,-228497456]	6 2 1 1
20160.dk6	[0,0,0,-332652,38767696]	6 2 1 1
20160.dk7	[0,0,0,-286572,59024464]	6 2 1 1
20160.dk8	[0,0,0,1107348,284719696]	6 2 1 1
20160.dl1	[0,0,0,-470412,-124184016]	6 2 1 1
20160.dl2	[0,0,0,-38412,-653616]	6 2 1 1
20160.dl3	[0,0,0,-29412,-1938816]	6 2 1 1
20160.dl4	[0,0,0,-1287,-48816]	6 2 1 1
20160.dm1	[0,0,0,-132,576]	6 2 1 1
20160.dm2	[0,0,0,-12,1584]	6 2 1 1
20160.dn1	[0,0,0,-72252,7474896]	6 2 1 1
20160.dn2	[0,0,0,-4752,103896]	6 2 1 1
20160.dn3	[0,0,0,-1692,-10736]	6 2 1 1
20160.dn4	[0,0,0,-1392,-19976]	6 2 1 1
20160.do1	[0,0,0,-132,-544]	6 2 1 1
20160.do2	[0,0,0,-27,44]	6 2 1 1
20160.dp1	[0,0,0,-64812,-6350384]	6 2 1 1
20160.dp2	[0,0,0,-4332,-84656]	6 2 1 1
20160.dp3	[0,0,0,-1452,20176]	6 2 1 1
20160.dp4	[0,0,0,10068,-528176]	6 2 1 1
20160.dq1	[0,0,0,-192,-376]	6 2 1 1
20160.dq2	[0,0,0,708,-2896]	6 2 1 1
20160.dr1	[0,0,0,-20352,1117496]	6 2 1 1
20160.dr2	[0,0,0,-19452,1220816]	6 2 1 1
20160.ds1	[0,0,0,-1272,-17064]	6 2 1 1
20160.ds2	[0,0,0,228,-54864]	6 2 1 1
20160.dt1	[0,0,0,-3132,35856]	6 2 1 1
20160.dt2	[0,0,0,648,4104]	6 2 1 1
20160.du1	[0,0,0,-7572,-209536]	6 2 1 1
20160.du2	[0,0,0,933,-19024]	6 2 1 1
20160.dv1	[0,0,0,-972,5616]	6 2 1 1
20160.dv2	[0,0,0,3348,41904]	6 2 1 1
20160.dw1	[0,0,0,-40332,-3117616]	6 2 1 1
20160.dw2	[0,0,0,-2532,-48256]	6 2 1 1
20160.dw3	[0,0,0,-327,1136]	6 2 1 1
20160.dw4	[0,0,0,-12,-139984]	6 2 1 1
20160.dx1	[0,0,0,-161892,1865376]	6 2 1 1
20160.dx2	[0,0,0,-115587,15090084]	6 2 1 1
20160.dy1	[0,0,0,-241932,-45802384]	6 2 1 1
20160.dy2	[0,0,0,-233292,43224176]	6 2 1 1
20160.dy3	[0,0,0,-21612,-43216]	6 2 1 1
20160.dy4	[0,0,0,-15132,-714544]	6 2 1 1
20160.dy5	[0,0,0,-552,-20536]	6 2 1 1
20160.dy6	[0,0,0,86388,-345616]	6 2 1 1
20160.dz1	[0,0,0,-3024012,2024059984]	6 2 1 1
20160.dz2	[0,0,0,-211692,23556976]	6 2 1 1
20160.dz3	[0,0,0,-189012,31621984]	6 2 1 1
20160.dz4	[0,0,0,-10407,616156]	6 2 1 1
20160.ea1	[0,0,0,-3674160012,85720602100016]	6 2 1 1
20160.ea2	[0,0,0,-229635012,1339384270016]	6 2 1 1
20160.ea3	[0,0,0,-228847692,1349024531024]	6 2 1 1
20160.ea4	[0,0,0,-14401407,20777112344]	6 2 1 1
20160.eb1	[0,0,0,-3342,129026]	6 2 1 1
20160.ec1	[0,0,0,-14832,716256]	6 2 1 1
20160.ed1	[0,0,0,-3342,-129026]	6 2 1 1
20160.ee1	[0,0,0,-14832,-716256]	6 2 1 1
20160.ef1	[0,0,0,-972,-5616]	6 2 1 1
20160.ef2	[0,0,0,3348,-41904]	6 2 1 1
20160.eg1	[0,0,0,-40332,3117616]	6 2 1 1
20160.eg2	[0,0,0,-2532,48256]	6 2 1 1
20160.eg3	[0,0,0,-327,-1136]	6 2 1 1
20160.eg4	[0,0,0,-12,139984]	6 2 1 1
20160.eh1	[0,0,0,-161892,-1865376]	6 2 1 1
20160.eh2	[0,0,0,-115587,-15090084]	6 2 1 1
20160.ei1	[0,0,0,-241932,45802384]	6 2 1 1
20160.ei2	[0,0,0,-233292,-43224176]	6 2 1 1
20160.ei3	[0,0,0,-21612,43216]	6 2 1 1
20160.ei4	[0,0,0,-15132,714544]	6 2 1 1
20160.ei5	[0,0,0,-552,20536]	6 2 1 1
20160.ei6	[0,0,0,86388,345616]	6 2 1 1
20160.ej1	[0,0,0,-3024012,-2024059984]	6 2 1 1
20160.ej2	[0,0,0,-211692,-23556976]	6 2 1 1
20160.ej3	[0,0,0,-189012,-31621984]	6 2 1 1
20160.ej4	[0,0,0,-10407,-616156]	6 2 1 1
20160.ek1	[0,0,0,-3674160012,-85720602100016]	6 2 1 1
20160.ek2	[0,0,0,-229635012,-1339384270016]	6 2 1 1
20160.ek3	[0,0,0,-228847692,-1349024531024]	6 2 1 1
20160.ek4	[0,0,0,-14401407,-20777112344]	6 2 1 1
20160.el1	[0,0,0,-20352,-1117496]	6 2 1 1
20160.el2	[0,0,0,-19452,-1220816]	6 2 1 1
20160.em1	[0,0,0,-192,376]	6 2 1 1
20160.em2	[0,0,0,708,2896]	6 2 1 1
20160.en1	[0,0,0,-1272,17064]	6 2 1 1
20160.en2	[0,0,0,228,54864]	6 2 1 1
20160.eo1	[0,0,0,-3132,-35856]	6 2 1 1
20160.eo2	[0,0,0,648,-4104]	6 2 1 1
20160.ep1	[0,0,0,-7572,209536]	6 2 1 1
20160.ep2	[0,0,0,933,19024]	6 2 1 1
20160.eq1	[0,0,0,-80652,-8815984]	6 2 1 1
20160.eq2	[0,0,0,-5052,-137104]	6 2 1 1
20160.eq3	[0,0,0,-1452,-328624]	6 2 1 1
20160.eq4	[0,0,0,-552,1496]	6 2 1 1
20160.er1	[0,0,0,-26892,-1487376]	6 2 1 1
20160.er2	[0,0,0,-6732,212336]	6 2 1 1
20160.er3	[0,0,0,-4812,335984]	6 2 1 1
20160.er4	[0,0,0,42228,-7874064]	6 2 1 1
20160.es1	[0,0,0,-508332,-139498256]	6 2 1 1
20160.es2	[0,0,0,-80652,5889616]	6 2 1 1
20160.es3	[0,0,0,-32052,-2139104]	6 2 1 1
20160.es4	[0,0,0,753,-118316]	6 2 1 1
20160.et1	[0,0,0,-202309932,1107576977456]	6 2 1 1
20160.et2	[0,0,0,-12644652,17305081904]	6 2 1 1
20160.et3	[0,0,0,-11723052,19934591024]	6 2 1 1
20160.et4	[0,0,0,-2509932,1503617456]	6 2 1 1
20160.et5	[0,0,0,-848172,228497456]	6 2 1 1
20160.et6	[0,0,0,-332652,-38767696]	6 2 1 1
20160.et7	[0,0,0,-286572,-59024464]	6 2 1 1
20160.et8	[0,0,0,1107348,-284719696]	6 2 1 1
20160.eu1	[0,0,0,-470412,124184016]	6 2 1 1
20160.eu2	[0,0,0,-38412,653616]	6 2 1 1
20160.eu3	[0,0,0,-29412,1938816]	6 2 1 1
20160.eu4	[0,0,0,-1287,48816]	6 2 1 1
20160.ev1	[0,0,0,-132,-576]	6 2 1 1
20160.ev2	[0,0,0,-12,-1584]	6 2 1 1
20160.ew1	[0,0,0,-72252,-7474896]	6 2 1 1
20160.ew2	[0,0,0,-4752,-103896]	6 2 1 1
20160.ew3	[0,0,0,-1692,10736]	6 2 1 1
20160.ew4	[0,0,0,-1392,19976]	6 2 1 1
20160.ex1	[0,0,0,-132,544]	6 2 1 1
20160.ex2	[0,0,0,-27,-44]	6 2 1 1
20160.ey1	[0,0,0,-64812,6350384]	6 2 1 1
20160.ey2	[0,0,0,-4332,84656]	6 2 1 1
20160.ey3	[0,0,0,-1452,-20176]	6 2 1 1
20160.ey4	[0,0,0,10068,528176]	6 2 1 1
20160.ez1	[0,0,0,-9658332,-11552961744]	6 2 1 1
20160.ez2	[0,0,0,-582552,-193715496]	6 2 1 1
20160.fa1	[0,0,0,18,54]	6 2 1 1
20160.fb1	[0,0,0,-28992,1900064]	6 2 1 1
20160.fb2	[0,0,0,-192,5024]	6 2 1 1
20160.fc1	[0,0,0,78,-1514]	6 2 1 1
20160.fd1	[0,0,0,-2951532,1947510864]	6 2 1 1
20160.fd2	[0,0,0,-1845612,3424577616]	6 2 1 1
20160.fe1	[0,0,0,-3492,-79424]	6 2 1 1
20160.fe2	[0,0,0,-3372,-85136]	6 2 1 1
20160.ff1	[0,0,0,-3132,-66096]	6 2 1 1
20160.ff2	[0,0,0,-432,1944]	6 2 1 1
20160.fg1	[0,0,0,-377292,-89197936]	6 2 1 1
20160.fg2	[0,0,0,-24492,-1280176]	6 2 1 1
20160.fg3	[0,0,0,-6492,181424]	6 2 1 1
20160.fg4	[0,0,0,-6312,193016]	6 2 1 1
20160.fg5	[0,0,0,8628,901136]	6 2 1 1
20160.fg6	[0,0,0,40308,-6904816]	6 2 1 1
20160.fh1	[0,0,0,-1106380812,-14164624511984]	6 2 1 1
20160.fh2	[0,0,0,-69148812,-221322182384]	6 2 1 1
20160.fh3	[0,0,0,-68716812,-224224012784]	6 2 1 1
20160.fh4	[0,0,0,-8680332,9840860944]	6 2 1 1
20160.fh5	[0,0,0,-4348812,-3412742384]	6 2 1 1
20160.fh6	[0,0,0,-616332,109225744]	6 2 1 1
20160.fh7	[0,0,0,120948,12199696]	6 2 1 1
20160.fh8	[0,0,0,731508,-10909262576]	6 2 1 1
20160.fi1	[0,0,0,-9676812,11586348016]	6 2 1 1
20160.fi2	[0,0,0,-604812,181029616]	6 2 1 1
20160.fi3	[0,0,0,-564492,206205424]	6 2 1 1
20160.fi4	[0,0,0,-213132,-35795216]	6 2 1 1
20160.fi5	[0,0,0,-40332,2428144]	6 2 1 1
20160.fi6	[0,0,0,5748,234736]	6 2 1 1
20160.fj1	[0,0,0,-24492,1474576]	6 2 1 1
20160.fj2	[0,0,0,-14412,-656336]	6 2 1 1
20160.fj3	[0,0,0,-1812,13984]	6 2 1 1
20160.fj4	[0,0,0,393,1636]	6 2 1 1
20160.fk1	[0,0,0,-878412,316803184]	6 2 1 1
20160.fk2	[0,0,0,-61932,3601456]	6 2 1 1
20160.fk3	[0,0,0,-26652,-1634096]	6 2 1 1
20160.fk4	[0,0,0,-26472,-1657784]	6 2 1 1
20160.fk5	[0,0,0,5748,-5353616]	6 2 1 1
20160.fk6	[0,0,0,190068,25475056]	6 2 1 1
20160.fl1	[0,0,0,-49332,4217344]	6 2 1 1
20160.fl2	[0,0,0,-3027,68416]	6 2 1 1
20736.a1	[0,0,0,-97896,-11789504]	8 4 0 0
20736.a2	[0,0,0,24,64]	8 4 0 0
20736.b1	[0,0,0,-220266,39789576]	8 4 0 0
20736.b2	[0,0,0,54,-216]	8 4 0 0
20736.c1	[0,0,0,-97896,11789504]	8 4 0 0
20736.c2	[0,0,0,24,-64]	8 4 0 0
20736.d1	[0,0,0,-220266,-39789576]	8 4 0 0
20736.d2	[0,0,0,54,216]	8 4 0 0
20736.e1	[0,0,0,-270,-1728]	8 4 0 0
20736.f1	[0,0,0,-120,512]	8 4 0 0
20736.g1	[0,0,0,-30,64]	8 4 0 0
20736.h1	[0,0,0,-1080,-13824]	8 4 0 0
20736.i1	[0,0,0,-30,-64]	8 4 0 0
20736.j1	[0,0,0,-1080,13824]	8 4 0 0
20736.k1	[0,0,0,-270,1728]	8 4 0 0
20736.l1	[0,0,0,-120,-512]	8 4 0 0
20736.m1	[0,0,0,-881064,318316608]	8 4 0 0
20736.m2	[0,0,0,216,-1728]	8 4 0 0
20736.n1	[0,0,0,-24474,-1473688]	8 4 0 0
20736.n2	[0,0,0,6,8]	8 4 0 0
20736.o1	[0,0,0,-881064,-318316608]	8 4 0 0
20736.o2	[0,0,0,216,1728]	8 4 0 0
20736.p1	[0,0,0,-24474,1473688]	8 4 0 0
20736.p2	[0,0,0,6,-8]	8 4 0 0
21168.a1	[0,0,0,-5292,-185220]	4 3 0 2
21168.b1	[0,0,0,-147,10290]	4 3 0 2
21168.c1	[0,0,0,-147,2450]	4 3 0 2
21168.d1	[0,0,0,-18522,-972405]	4 3 0 2
21168.e1	[0,0,0,-42,-105]	4 3 0 2
21168.f1	[0,0,0,-64827,22689450]	4 3 0 2
21168.g1	[0,0,0,3110373,865810890]	4 3 0 2
21168.h1	[0,0,0,-37044,-1815156]	4 3 0 2
21168.i1	[0,0,0,-333984,74291056]	4 3 0 2
21168.i2	[0,0,0,-169344,-26819856]	4 3 0 2
21168.i3	[0,0,0,-4704,71344]	4 3 0 2
21168.j1	[0,0,0,21,-294]	4 3 0 2
21168.k1	[0,0,0,-5439,172186]	4 3 0 2
21168.k2	[0,0,0,441,-686]	4 3 0 2
21168.l1	[0,0,0,-16464,-806736]	4 3 0 2
21168.m1	[0,0,0,-731619,241026786]	4 3 0 2
21168.m2	[0,0,0,9261,1426194]	4 3 0 2
21168.n1	[0,0,0,-116424,-15150996]	4 3 0 2
21168.n2	[0,0,0,-10584,407484]	4 3 0 2
21168.o1	[0,0,0,-1659,26026]	4 3 0 2
21168.o2	[0,0,0,21,154]	4 3 0 2
21168.p1	[0,0,0,-3024,-63504]	4 3 0 2
21168.q1	[0,0,0,-996219,-382720086]	4 3 0 2
21168.q2	[0,0,0,-8379,-865046]	4 3 0 2
21168.q3	[0,0,0,73941,20916826]	4 3 0 2
21168.r1	[0,0,0,-96579,-15317694]	4 3 0 2
21168.r2	[0,0,0,-2499,48706]	4 3 0 2
21168.r3	[0,0,0,9261,240786]	4 3 0 2
21168.s1	[0,0,0,9261,-2722734]	4 3 0 2
21168.t1	[0,0,0,-84,-196]	4 3 0 2
21168.u1	[0,0,0,-128331,17926650]	4 3 0 2
21168.v1	[0,0,0,1029,-14406]	4 3 0 2
21168.w1	[0,0,0,189,1890]	4 3 0 2
21168.x1	[0,0,0,-287091,-75328974]	4 3 0 2
21168.y1	[0,0,0,-2139291,-1204356006]	4 3 0 2
21168.z1	[0,0,0,-4116,105644]	4 3 0 2
21168.ba1	[0,0,0,-756,8316]	4 3 0 2
21168.bb1	[0,0,0,-4851,-130046]	4 3 0 2
21168.bc1	[0,0,0,-651,-8134]	4 3 0 2
21168.bd1	[0,0,0,1029,24010]	4 3 0 2
21168.be1	[0,0,0,189,-1134]	4 3 0 2
21168.bf1	[0,0,0,-698691,227734850]	4 3 0 2
21168.bg1	[0,0,0,-1976268,-1053562916]	4 3 0 2
21168.bh1	[0,0,0,-1323,-2352294]	4 3 0 2
21168.bi1	[0,0,0,-21168,-148176]	4 3 0 2
21168.bj1	[0,0,0,-1323,-19894]	4 3 0 2
21168.bk1	[0,0,0,-21168,1148364]	4 3 0 2
21168.bl1	[0,0,0,-4683,-124166]	4 3 0 2
21168.bm1	[0,0,0,4557,-335454]	4 3 0 2
21168.bn1	[0,0,0,-6468,-91924]	4 3 0 2
21168.bo1	[0,0,0,-2065203,-1149901326]	4 3 0 2
21168.bp1	[0,0,0,-588,-4116]	4 3 0 2
21168.bq1	[0,0,0,-1323,314874]	4 3 0 2
21168.br1	[0,0,0,-2835,59346]	4 3 0 2
21168.br2	[0,0,0,12285,249858]	4 3 0 2
21168.bs1	[0,0,0,-138915,-20355678]	4 3 0 2
21168.bs2	[0,0,0,601965,-85701294]	4 3 0 2
21168.bt1	[0,0,0,0,-2401]	4 3 0 2
21168.bt2	[0,0,0,0,64827]	4 3 0 2
21168.bu1	[0,0,0,-7494795,-7897465926]	4 3 0 2
21168.bu2	[0,0,0,-85995,-12428262]	4 3 0 2
21168.bu3	[0,0,0,8085,172186]	4 3 0 2
21168.bv1	[0,0,0,-211680,-37488528]	4 3 0 2
21168.bv2	[0,0,0,-23520,1388464]	4 3 0 2
21168.bv3	[0,0,0,0,-148176]	4 3 0 2
21168.bv4	[0,0,0,0,5488]	4 3 0 2
21168.bw1	[0,0,0,0,-453789]	4 3 0 2
21168.bw2	[0,0,0,0,16807]	4 3 0 2
21168.bx1	[0,0,0,-832755,292498738]	4 3 0 2
21168.bx2	[0,0,0,-9555,460306]	4 3 0 2
21168.bx3	[0,0,0,72765,-4649022]	4 3 0 2
21168.by1	[0,0,0,0,-3024]	4 3 0 2
21168.by2	[0,0,0,0,112]	4 3 0 2
21168.bz1	[0,0,0,0,-1815156]	4 3 0 2
21168.bz2	[0,0,0,0,67228]	4 3 0 2
21168.ca1	[0,0,0,0,-196]	4 3 0 2
21168.ca2	[0,0,0,0,5292]	4 3 0 2
21168.cb1	[0,0,0,0,-38416]	4 3 0 2
21168.cb2	[0,0,0,0,1037232]	4 3 0 2
21168.cc1	[0,0,0,0,-49]	4 3 0 2
21168.cc2	[0,0,0,0,1323]	4 3 0 2
21168.cd1	[0,0,0,0,-37044]	4 3 0 2
21168.cd2	[0,0,0,0,1372]	4 3 0 2
21168.ce1	[0,0,0,0,-189]	4 3 0 2
21168.ce2	[0,0,0,0,7]	4 3 0 2
21168.cf1	[0,0,0,-315,-2198]	4 3 0 2
21168.cf2	[0,0,0,1365,-9254]	4 3 0 2
21168.cg1	[0,0,0,-15435,753914]	4 3 0 2
21168.cg2	[0,0,0,66885,3174122]	4 3 0 2
21168.ch1	[0,0,0,-147,-11662]	4 3 0 2
21168.ci1	[0,0,0,-5292,111132]	4 3 0 2
21168.cj1	[0,0,0,-229467,42588938]	4 3 0 2
21168.ck1	[0,0,0,-58212,2481948]	4 3 0 2
21168.cl1	[0,0,0,-42147,3352482]	4 3 0 2
21168.cm1	[0,0,0,41013,9057258]	4 3 0 2
21168.cn1	[0,0,0,-2352,-42532]	4 3 0 2
21168.co1	[0,0,0,-11907,537138]	4 3 0 2
21168.cp1	[0,0,0,-2352,5488]	4 3 0 2
21168.cq1	[0,0,0,-147,87122]	4 3 0 2
21168.cr1	[0,0,0,-17786412,28446198732]	4 3 0 2
21168.cs1	[0,0,0,-6288219,-6148840950]	4 3 0 2
21168.ct1	[0,0,0,21,42]	4 3 0 2
21168.cu1	[0,0,0,9261,-648270]	4 3 0 2
21168.cv1	[0,0,0,-5859,219618]	4 3 0 2
21168.cw1	[0,0,0,-237699,44605778]	4 3 0 2
21168.cx1	[0,0,0,-37044,-2852388]	4 3 0 2
21168.cy1	[0,0,0,-84,-308]	4 3 0 2
21168.cz1	[0,0,0,-43659,3511242]	4 3 0 2
21168.da1	[0,0,0,-31899,2789962]	4 3 0 2
21168.db1	[0,0,0,21,-70]	4 3 0 2
21168.dc1	[0,0,0,9261,388962]	4 3 0 2
21168.dd1	[0,0,0,-14259,-663950]	4 3 0 2
21168.de1	[0,0,0,-756,5292]	4 3 0 2
21168.df1	[0,0,0,1029,100842]	4 3 0 2
21168.dg1	[0,0,0,-22491,-1315062]	4 3 0 2
21168.dg2	[0,0,0,-10731,567322]	4 3 0 2
21168.dg3	[0,0,0,1029,-8918]	4 3 0 2
21168.dh1	[0,0,0,-110691,14174818]	4 3 0 2
21168.dh2	[0,0,0,-75411,23356242]	4 3 0 2
21168.dh3	[0,0,0,665469,-564754302]	4 3 0 2
21168.di1	[0,0,0,-336,2352]	4 3 0 2
21168.dj1	[0,0,0,-81291,-8926918]	4 3 0 2
21168.dj2	[0,0,0,1029,-52822]	4 3 0 2
21168.dk1	[0,0,0,-12936,561148]	4 3 0 2
21168.dk2	[0,0,0,-1176,-15092]	4 3 0 2
21168.dl1	[0,0,0,-14931,-702702]	4 3 0 2
21168.dl2	[0,0,0,189,-4158]	4 3 0 2
21168.dm1	[0,0,0,-148176,21781872]	4 3 0 2
21168.dn1	[0,0,0,-48951,-4649022]	4 3 0 2
21168.dn2	[0,0,0,3969,18522]	4 3 0 2
21168.do1	[0,0,0,189,7938]	4 3 0 2
21168.dp1	[0,0,0,-4116,67228]	4 3 0 2
21168.dq1	[0,0,0,-3005856,-2005858512]	4 3 0 2
21168.dq2	[0,0,0,-42336,-1926288]	4 3 0 2
21168.dq3	[0,0,0,-18816,993328]	4 3 0 2
21168.dr1	[0,0,0,345597,-32067070]	4 3 0 2
21168.ds1	[0,0,0,-378,2835]	4 3 0 2
21168.dt1	[0,0,0,-7203,-840350]	4 3 0 2
21168.du1	[0,0,0,-1323,-66150]	4 3 0 2
21168.dv1	[0,0,0,-2058,36015]	4 3 0 2
21168.dw1	[0,0,0,-588,6860]	4 3 0 2
21168.dx1	[0,0,0,-1323,-277830]	4 3 0 2
21600.a1	[0,0,0,-60,-160]	5 3 2 0
21600.b1	[0,0,0,-13500,-540000]	5 3 2 0
21600.c1	[0,0,0,-540,4320]	5 3 2 0
21600.d1	[0,0,0,-1500,20000]	5 3 2 0
21600.e1	[0,0,0,15,20]	5 3 2 0
21600.f1	[0,0,0,3375,67500]	5 3 2 0
21600.g1	[0,0,0,-5400,162000]	5 3 2 0
21600.h1	[0,0,0,-75,-750]	5 3 2 0
21600.i1	[0,0,0,-5794200,5369274000]	5 3 2 0
21600.j1	[0,0,0,-643800,-198862000]	5 3 2 0
21600.k1	[0,0,0,-675,20250]	5 3 2 0
